Country,Region,Population,Area,Pop. Density,GDP,Literacy,Agriculture,Industry,Service
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,274200,50.7,1100,26.6,0.322,0.196,0.482
Burma ,ASIA (EX. NEAR EAST)         ,47382633,678500,69.8,1800,85.3,0.564,0.082,0.353
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,27830,290.7,600,51.6,0.463,0.203,0.334
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,181040,76.7,1900,69.4,0.35,0.3,0.35
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,475440,36.5,1800,79,0.448,0.17,0.382
Canada ,NORTHERN AMERICA                   ,33098932,9984670,3.3,29800,97,0.022,0.294,0.684
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,4033,104.4,1400,76.6,0.121,0.219,0.66
Cayman Islands ,LATIN AMER. & CARIB    ,45436,262,173.4,35000,98,0.014,0.032,0.954
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,622984,6.9,1100,51,0.55,0.2,0.25
Chad ,SUB-SAHARAN AFRICA                 ,9944201,1284000,7.7,1200,47.5,0.335,0.259,0.406
Chile ,LATIN AMER. & CARIB    ,16134219,756950,21.3,9900,96.2,0.06,0.493,0.447
China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,5000,90.9,0.125,0.473,0.403
Colombia ,LATIN AMER. & CARIB    ,43593035,1138910,38.3,6300,92.5,0.125,0.342,0.533
Comoros ,SUB-SAHARAN AFRICA                 ,690948,2170,318.4,700,56.5,0.4,0.04,0.56
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,62660551,2345410,26.7,700,65.5,0.55,0.11,0.34
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,3702314,342000,10.8,700,83.8,0.062,0.57,0.369
Cook Islands ,OCEANIA                            ,21388,240,89.1,5000,95,0.151,0.096,0.753
Costa Rica ,LATIN AMER. & CARIB    ,4075261,51100,79.8,9100,96,0.088,0.299,0.614
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,322460,54.8,1400,50.9,0.279,0.171,0.55
Croatia ,EASTERN EUROPE                     ,4494749,56542,79.5,10600,98.5,0.07,0.308,0.622
